Latitude,Longitude,Feature_ID,Village,N,P,K,OC
14.124534,79.672067,28_515_shc_2025-26.7014,Vemulachedu,113.0,23.8,463.5,0.33
14.126984,79.674958,28_515_shc_2025-26.4697,Palur,238.0,6.9,273.1,0.34
14.127094,79.672796,28_515_shc_2025-26.7024,Vemulachedu,88.0,29.2,471.8,0.52
14.128,79.832,28_515_shc_2025-26.8423,Cheekavolu,176.0,23.8,533.8,0.16
14.128,79.832,28_515_shc_2025-26.1918,Vemulachedu,100.0,10.0,285.5,0.27
14.128,79.832,28_515_shc_2025-26.8430,Cheekavolu,151.0,91.4,360.0,0.2
14.128,79.832,28_515_shc_2025-26.8439,Cheekavolu,50.0,35.3,378.6,0.13
14.132998,79.675209,28_515_shc_2025-26.7019,Vemulachedu,138.0,34.6,353.8,0.34
14.148,79.712,28_515_shc_2025-26.1862,Ananthamadugu,100.0,0.8,155.2,0.2
14.152,79.738,28_515_shc_2025-26.8321,Ananthamadugu,63.0,38.4,304.2,0.1
14.152696,79.703033,28_515_shc_2025-26.6815,Thippireddipalle,125.0,20.7,111.7,0.1
14.152696,79.703033,28_515_shc_2025-26.7066,Lingasamudram,113.0,10.0,329.0,0.46
14.152696,79.703033,28_515_shc_2025-26.6804,Samudralavari Khandrika,13.0,10.0,403.5,0.1
14.155,79.595,28_515_shc_2025-26.2284,Jorepalle,151.0,18.4,136.6,0.46
14.155398,79.594032,28_515_shc_2025-26.2313,Jorepalle Akkamambapuram,50.0,11.5,204.8,0.25
14.155667,79.594586,28_515_shc_2025-26.2263,Jorepalle Akkamambapuram,100.0,19.2,105.5,0.48
14.15574,79.593975,28_515_shc_2025-26.2261,Jorepalle,125.0,30.0,105.5,0.25
14.15574,79.593975,28_515_shc_2025-26.2267,Jorepalle,163.0,10.0,49.7,0.27
14.15574,79.593975,28_515_shc_2025-26.2315,Jorepalle Akkamambapuram,50.0,18.4,372.4,0.11
14.156444,79.59325,28_515_shc_2025-26.9401,Thatipalle,13.0,0.8,49.7,0.2
14.158,79.592,28_515_shc_2025-26.2057,Jorepalle,100.0,3.1,273.1,0.34
14.158,79.592,28_515_shc_2025-26.2254,Jorepalle,50.0,10.8,49.7,0.41
