Latitude,Longitude,Feature_ID,Village,nitrogen_N_2023-24,phosphorus_P_2023-24,potassium_K_2023-24,organic_carbon_OC_2023-24,pH_2023-24,EC_2023-24,sulphur_S_2023-24,zinc_Zn_2023-24,iron_Fe_2023-24,copper_Cu_2023-24,manganese_Mn_2023-24,boron_B_2023-24,nitrogen_N_2024-25,phosphorus_P_2024-25,potassium_K_2024-25,organic_carbon_OC_2024-25,pH_2024-25,EC_2024-25,sulphur_S_2024-25,zinc_Zn_2024-25,iron_Fe_2024-25,copper_Cu_2024-25,manganese_Mn_2024-25,boron_B_2024-25,nitrogen_N_2025-26,phosphorus_P_2025-26,potassium_K_2025-26,organic_carbon_OC_2025-26,pH_2025-26,EC_2025-26,sulphur_S_2025-26,zinc_Zn_2025-26,iron_Fe_2025-26,copper_Cu_2025-26,manganese_Mn_2025-26,boron_B_2025-26
14.128000,79.832000,28_515_shc_2025-26.1918,Vemulachedu,,,,,,,,,,,,,,,,,,,,,,,,,100.0,10.0,285.5,0.27,8.62,0.39,35.02,0.08,2.18,0.11,1.96,0.57
14.128000,79.832000,28_515_shc_2025-26.1923,Cheekavolu,,,,,,,,,,,,,,,,,,,,,,,,,100.0,21.5,291.7,0.19,8.33,0.26,21.01,0.14,0.61,0.24,1.18,0.6
14.128000,79.832000,28_515_shc_2025-26.1925,Cheekavolu,,,,,,,,,,,,,,,,,,,,,,,,,176.0,33.0,459.3,0.18,8.55,0.33,45.53,0.44,5.01,0.29,1.97,0.5
14.128000,79.832000,28_515_shc_2025-26.1926,Cheekavolu,,,,,,,,,,,,,,,,,,,,,,,,,50.0,53.76,248.3,0.11,8.42,0.35,35.02,0.14,1.77,0.52,1.26,0.44
14.128000,79.832000,28_515_shc_2025-26.1927,Cheekavolu,,,,,,,,,,,,,,,,,,,,,,,,,88.0,58.4,198.6,0.52,8.47,0.43,73.55,0.28,3.86,0.28,1.93,0.38
14.128000,79.832000,28_515_shc_2025-26.8398,Vemulachedu,,,,,,,,,,,,,,,,,,,,,,,,,113.0,75.3,546.2,0.35,8.48,0.47,42.03,0.15,4.1,0.19,2.15,0.66
14.128000,79.832000,28_515_shc_2025-26.8401,Vemulachedu,,,,,,,,,,,,,,,,,,,,,,,,,138.0,37.6,360.0,0.2,8.54,0.56,35.02,0.17,0.38,0.22,0.95,0.75
14.128000,79.832000,28_515_shc_2025-26.8402,Vemulachedu,,,,,,,,,,,,,,,,,,,,,,,,,226.0,78.3,384.9,0.52,8.43,0.54,66.54,0.36,13.81,0.37,3.86,0.66
14.128000,79.832000,28_515_shc_2025-26.8420,Cheekavolu,,,,,,,,,,,,,,,,,,,,,,,,,100.0,16.1,322.8,0.2,8.51,0.52,45.53,0.36,5.31,0.19,2.89,0.57
14.128000,79.832000,28_515_shc_2025-26.8421,Cheekavolu,,,,,,,,,,,,,,,,,,,,,,,,,50.0,76.0,620.7,0.05,8.4,0.46,45.53,0.53,4.19,0.19,2.01,0.38
14.128000,79.832000,28_515_shc_2025-26.8422,Cheekavolu,,,,,,,,,,,,,,,,,,,,,,,,,88.0,100.6,577.3,0.16,8.54,0.43,52.53,0.41,9.26,0.13,3.15,0.5
14.128000,79.832000,28_515_shc_2025-26.8429,Cheekavolu,,,,,,,,,,,,,,,,,,,,,,,,,75.0,35.3,329.0,0.1,8.47,0.25,45.53,0.38,4.98,0.14,1.98,0.41
14.128000,79.832000,28_515_shc_2025-26.8430,Cheekavolu,,,,,,,,,,,,,,,,,,,,,,,,,151.0,91.4,360.0,0.2,8.41,0.04,101.57,0.6,3.86,0.09,1.49,0.44
14.128000,79.832000,28_515_shc_2025-26.8435,Cheekavolu,,,,,,,,,,,,,,,,,,,,,,,,,75.0,25.3,403.5,0.09,8.7,0.23,35.02,0.54,5.01,0.15,1.36,0.38
14.128000,79.832000,28_515_shc_2025-26.8439,Cheekavolu,,,,,,,,,,,,,,,,,,,,,,,,,50.0,35.3,378.6,0.13,8.47,0.39,35.02,0.17,6.01,0.31,3.05,0.31
14.148000,79.712000,28_515_shc_2025-26.7135,Ananthamadugu,,,,,,,,,,,,,,,,,,,,,,,,,188.0,1.5,322.8,0.05,8.37,0.4,21.01,0.36,4.18,0.73,2.1,0.25
14.148000,79.732000,28_515_shc_2024-25.17981,Ananthamadugu,,,,,,,,,,,,,113.0,97.0,67.6,0.16,8.19,0.25,10.5,0.78,10.18,0.38,6.38,0.73,,,,,,,,,,,,
14.142000,79.848000,28_515_shc_2024-25.5299,Cheekavolu,138.0,24.0,351.0,1.68,8.2,0.2,87.0,0.12,4.43,0.84,16.6,0.26,238.0,164.0,155.0,0.08,8.11,0.16,26.4,0.28,6.38,0.14,5.64,0.22,,,,,,,,,,,,
14.142000,79.848000,28_515_shc_2024-25.5429,Cheekavolu,,,,,,,,,,,,,238.0,164.0,167.9,0.16,8.02,0.17,10.5,0.16,6.18,0.58,4.21,0.54,,,,,,,,,,,,
14.155000,79.595000,28_515_shc_2023-24.5135,Jorepalle,201.0,14.0,377.0,0.8,8.3,0.3,54.0,0.46,8.38,0.16,4.38,0.04,,,,,,,,,,,,,,,,,,,,,,,,
14.158000,79.592000,28_515_shc_2024-25.19955,Jorepalle,,,,,,,,,,,,,100.0,19.0,303.0,0.64,7.8,0.2,2.0,0.38,16.38,0.76,7.26,0.18,,,,,,,,,,,,
