Village,Latitude,Longitude,Feature_ID,N,P,K,OC,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,NDRE,EVI,SAVI,SWIR_Ratio,Elevation_m,Slope_deg,Aspect_deg,Hillshade,Soil_Moisture_0_7cm,Soil_Temp_0_7cm_K,LST_K,Precipitation_Mean_m,Potential_ET,Actual_ET,Climate_Water_Deficit,Clay_Fraction_g_kg,Silt_Fraction_g_kg,Sand_Fraction_g_kg
Ananthamadugu,14.145,79.73,28_515_shc_2024-25.17989,113.0,96.0,45.2,0.63,0.0573000013828277,0.0595999993383884,0.0838000029325485,0.0953999981284141,0.1251000016927719,0.1814000010490417,0.1985999941825866,0.1997999995946884,0.2184000015258789,0.2399999946355819,0.2199999988079071,0.1814000010490417,0.3536585569381714,0.2299168854951858,0.1969514073195677,0.1969315928669572,1.101101040840149,26,2,296,186,0.2319729699028863,302.71088439093694,301.9510017818875,0.0011091278745096,1451.0,905.0,545.75,329,290,380
Ananthamadugu,14.148,79.732,28_515_shc_2024-25.17981,113.0,97.0,67.6,0.16,0.0541500002145767,0.0562000013887882,0.0776500031352043,0.0767500028014183,0.1278499960899353,0.2101999968290329,0.2376500070095062,0.229200005531311,0.2585499882698059,0.2565500140190124,0.2241999953985214,0.1688999980688095,0.4982840418815613,0.2838538289070129,0.3005243677979077,0.2837334843731804,0.978184938430786,28,1,0,180,0.2319729699028863,302.71088439093694,301.9510017818875,0.0011091278745096,1451.0,905.0,545.75,327,293,379
Jorepalle,14.15,79.58,28_515_shc_2024-25.20016,213.0,19.0,245.0,0.77,0.0404499992728233,0.0516000017523765,0.0700000002980232,0.0799999982118606,0.1307500004768371,0.1987500041723251,0.2299499958753585,0.2300000041723251,0.2633000016212463,0.2574000060558319,0.2648000121116638,0.1708000004291534,0.4838709831237793,0.27512127161026,0.2834467275017938,0.2777777879980529,1.1513043642044067,55,2,116,174,0.2192535400390625,302.89212896558973,302.13870794508193,0.000975829909579,1445.5,909.4166666666666,536.0833333333334,331,269,399
Raganaramapuram,14.152696,79.703033,28_515_shc_2024-25.5699,213.0,164.0,64.6,0.25,0.0577999986708164,0.0644500032067298,0.0926499962806701,0.095049999654293,0.1436000019311905,0.2348500043153762,0.268449991941452,0.2517000138759613,0.2915500104427337,0.2766999900341034,0.2594999969005584,0.1783999949693679,0.4517664313316345,0.2734632194042206,0.2925576910170047,0.2775022351081506,1.030989170074463,33,1,90,177,0.2370018429226345,303.026851187812,302.2613533443875,0.0010331446824364,1450.1666666666667,903.25,546.8333333333334,319,318,363
Ananthamadugu,14.155,79.735,28_515_shc_2024-25.17963,213.0,25.0,58.1,0.47,0.0423000007867813,0.0701000019907951,0.0948999971151351,0.0967999994754791,0.1229000017046928,0.2162999957799911,0.257099986076355,0.2576000094413757,0.2739999890327453,0.3010999858379364,0.1752000004053115,0.1194000020623207,0.4537246227264404,0.3540078997611999,0.3062507351995895,0.2823033853365948,0.6801242232322693,18,2,27,177,0.2370018429226345,303.026851187812,302.2613533443875,0.0010331446824364,1451.0,905.0,545.75,308,339,353
Jorepalle,14.158,79.592,28_515_shc_2024-25.19955,100.0,19.0,303.0,0.64,0.0408499985933303,0.0489000007510185,0.0728000029921531,0.061099998652935,0.1159999966621398,0.2662000060081482,0.3346999883651733,0.3494000136852264,0.372649997472763,0.3666999936103821,0.164450004696846,0.0853499993681907,0.7023142576217651,0.501504123210907,0.5341856865641271,0.4749588321672909,0.4706639945507049,54,1,270,183,0.2192535400390625,302.89212896558973,302.13870794508193,0.000975829909579,1448.6666666666667,908.9166666666666,539.5833333333334,336,264,399
Molakalapundla,14.16,79.735,28_515_shc_2024-25.9712,151.0,90.6,614.0,0.16,0.0508500002324581,0.0627999976277351,0.096850000321865,0.0878999978303909,0.1756999939680099,0.2824000120162964,0.3381499946117401,0.350600004196167,0.3725999891757965,0.3583999872207641,0.2216999977827072,0.1341499984264373,0.5990878343582153,0.3323200047016144,0.4667732848097021,0.4198721456555875,0.6323445439338684,24,1,180,180,0.2370018429226345,303.026851187812,302.2613533443875,0.0010331446824364,1451.0,905.0,545.75,313,339,348
Siddavaram,14.165,79.55,28_515_shc_2024-25.407,176.0,1.0,167.0,0.87,0.0433499999344348,0.0489500015974044,0.0727500021457672,0.0833500027656555,0.1343500018119812,0.2238499969244003,0.2608999907970428,0.2538999915122986,0.2854500114917755,0.2837499976158142,0.278899997472763,0.197050005197525,0.5057079195976257,0.3079201281070709,0.3074357624571115,0.3055538786125505,1.098464012145996,68,1,46,177,0.2095289866129557,302.35126525031194,301.59108424716527,0.0009597665134327,1445.5,909.4166666666666,536.0833333333334,332,258,410
Molakalapundla,14.165,79.65,28_515_shc_2024-25.3936,301.0,156.0,58.1,0.47,0.0590999983251094,0.0842000022530555,0.1206000000238418,0.1715999990701675,0.2072000056505203,0.2569999992847442,0.2784999907016754,0.3041999936103821,0.3077999949455261,0.3077999949455261,0.3935000002384186,0.301800012588501,0.2786885201931,0.1896753758192062,0.1947365282100123,0.203832745749401,1.2935569286346436,65,1,134,177,0.2192535400390625,302.89212896558973,302.13870794508193,0.000975829909579,1448.8333333333333,905.5,543.4166666666666,325,305,370
Molakalapundla,14.165,79.735,28_515_shc_2024-25.9815,364.0,38.2,58.7,0.16,0.0473500005900859,0.0547499991953372,0.0805500000715255,0.0944999977946281,0.1410000026226043,0.2335000038146972,0.2617000043392181,0.2680000066757202,0.2825999855995178,0.2764999866485595,0.2564499974250793,0.1835500001907348,0.478620707988739,0.310513436794281,0.3045195418071431,0.3017391443162423,0.9569029808044434,27,3,134,174,0.2370018429226345,303.026851187812,302.2613533443875,0.0010331446824364,1451.0,905.0,545.75,313,322,365
