Village,Latitude,Longitude,Feature_ID,N,P,K,OC,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,NDRE,EVI,SAVI,SWIR_Ratio,Elevation_m,Slope_deg,Aspect_deg,Hillshade,Soil_Moisture_0_7cm,Soil_Temp_0_7cm_K,LST_K,Precipitation_Mean_m,Clay_Fraction_g_kg,Silt_Fraction_g_kg,Sand_Fraction_g_kg
Vemulachedu,14.124534,79.672067,28_515_shc_2025-26.7014,113.0,23.8,463.5,0.33,0.0571999996900558,0.0764250010251998,0.1120999976992607,0.1206749975681305,0.1790666729211807,0.2765333354473114,0.3093000054359436,0.3163000047206878,0.3402999937534332,0.3305999934673309,0.3242999911308288,0.2311999946832656,0.4476800858974457,0.2770338356494903,0.3333390294085825,0.3131753888972859,1.0252923965454102,31,2,180,180,0.1995931257281387,303.5830048008969,302.8500899933932,0.0008257483556553,319,299,382
Palur,14.126984,79.674958,28_515_shc_2025-26.4697,238.0,6.9,273.1,0.34,0.05582857131958,0.0493000000715255,0.0814333334565162,0.0767000019550323,0.147499993443489,0.2548500001430511,0.2876000106334686,0.3057000041007995,0.3130249977111816,0.3111000061035156,0.2704666554927826,0.1834000051021576,0.598849356174469,0.3490732908248901,0.4100562254004167,0.3892792394166378,0.8847453594207764,33,1,226,183,0.1995931257281387,303.5830048008969,302.8500899933932,0.0008257483556553,329,287,384
Vemulachedu,14.127094,79.672796,28_515_shc_2025-26.7024,88.0,29.2,471.8,0.52,0.0671200007200241,0.0891000032424926,0.1298750042915344,0.1429333388805389,0.2079000025987625,0.2681333422660827,0.2980749905109405,0.3176000118255615,0.3348999917507171,0.3273999989032745,0.3740000128746032,0.2666000127792358,0.3792704045772552,0.2087535858154297,0.2897685234004047,0.2727651353541595,1.1775819063186646,33,3,314,186,0.1995931257281387,303.5830048008969,302.8500899933932,0.0008257483556553,325,291,384
Cheekavolu,14.128,79.832,28_515_shc_2025-26.8423,176.0,23.8,533.8,0.16,0.0643500015139579,0.0957000032067298,0.1257500052452087,0.1362999975681305,0.1580999940633773,0.219200000166893,0.2448499947786331,0.2574500143527984,0.2640999853610992,0.2745000123977661,0.2632499933242798,0.2080499976873397,0.3076825737953186,0.2390807867050171,0.2231123737611951,0.2033286967867245,1.0225285291671753,23,2,333,183,0.2217649827923691,303.5035820007324,302.7622721822638,0.0008850223594717,347,307,346
Vemulachedu,14.128,79.832,28_515_shc_2025-26.1918,100.0,10.0,285.5,0.27,0.0643500015139579,0.0957000032067298,0.1257500052452087,0.1362999975681305,0.1580999940633773,0.219200000166893,0.2448499947786331,0.2574500143527984,0.2640999853610992,0.2745000123977661,0.2632499933242798,0.2080499976873397,0.3076825737953186,0.2390807867050171,0.2231123737611951,0.2033286967867245,1.0225285291671753,23,2,333,183,0.2217649827923691,303.5035820007324,302.7622721822638,0.0008850223594717,347,307,346
Cheekavolu,14.128,79.832,28_515_shc_2025-26.8430,151.0,91.4,360.0,0.2,0.0643500015139579,0.0957000032067298,0.1257500052452087,0.1362999975681305,0.1580999940633773,0.219200000166893,0.2448499947786331,0.2574500143527984,0.2640999853610992,0.2745000123977661,0.2632499933242798,0.2080499976873397,0.3076825737953186,0.2390807867050171,0.2231123737611951,0.2033286967867245,1.0225285291671753,23,2,333,183,0.2217649827923691,303.5035820007324,302.7622721822638,0.0008850223594717,347,307,346
Cheekavolu,14.128,79.832,28_515_shc_2025-26.8439,50.0,35.3,378.6,0.13,0.0643500015139579,0.0957000032067298,0.1257500052452087,0.1362999975681305,0.1580999940633773,0.219200000166893,0.2448499947786331,0.2574500143527984,0.2640999853610992,0.2745000123977661,0.2632499933242798,0.2080499976873397,0.3076825737953186,0.2390807867050171,0.2231123737611951,0.2033286967867245,1.0225285291671753,23,2,333,183,0.2217649827923691,303.5035820007324,302.7622721822638,0.0008850223594717,347,307,346
Vemulachedu,14.132998,79.675209,28_515_shc_2025-26.7019,138.0,34.6,353.8,0.34,0.0438666678965091,0.0472999997437,0.0753000006079673,0.0737999975681305,0.1298999935388565,0.2258999943733215,0.2574000060558319,0.2687999904155731,0.2852999866008758,0.2846666574478149,0.2514666616916656,0.1604000031948089,0.5691768527030945,0.3483822345733642,0.3592880496104839,0.3471397975818878,0.9355158805847168,37,1,226,183,0.1995931257281387,303.5830048008969,302.8500899933932,0.0008257483556553,342,270,388
Ananthamadugu,14.148,79.712,28_515_shc_2025-26.1862,100.0,0.8,155.2,0.2,0.0558166652917861,0.0686666667461395,0.0970333367586135,0.1218333318829536,0.170933336019516,0.2312500029802322,0.2622199952602386,0.2632000148296356,0.2915000021457672,0.2876999974250793,0.3244999945163727,0.2377000004053115,0.3671543896198272,0.2125307321548462,0.2389242198790838,0.23959551943175,1.2329026460647583,28,3,161,177,0.1995931257281387,303.5830048008969,302.8500899933932,0.0008257483556553,313,320,367
Ananthamadugu,14.152,79.738,28_515_shc_2025-26.8321,63.0,38.4,304.2,0.1,0.0627999976277351,0.0700500011444091,0.1025499999523162,0.1054999977350235,0.1716500073671341,0.2693249881267547,0.3268499970436096,0.3414500057697296,0.3625999987125397,0.3177500069141388,0.2658999860286712,0.1730750054121017,0.5279114246368408,0.3309296369552612,0.4070700459010168,0.3737525853974852,0.7787376642227173,18,2,180,180,0.2105170132821066,303.8115975229364,303.0659317217375,0.0008190243098064,310,322,368
Thippireddipalle,14.152696,79.703033,28_515_shc_2025-26.6815,125.0,20.7,111.7,0.1,0.0558333322405815,0.0658499971032142,0.096450001001358,0.1052000001072883,0.1522500067949295,0.24651999771595,0.2767750024795532,0.2834500074386596,0.3086000084877014,0.298633337020874,0.2899250090122223,0.2001666724681854,0.4586388766765594,0.301124632358551,0.3136492470511395,0.3008777457116403,1.022843599319458,33,1,90,177,0.2105170132821066,303.8115975229364,303.0659317217375,0.0008190243098064,319,318,363
Lingasamudram,14.152696,79.703033,28_515_shc_2025-26.7066,113.0,10.0,329.0,0.46,0.0558333322405815,0.0658499971032142,0.096450001001358,0.1052000001072883,0.1522500067949295,0.24651999771595,0.2767750024795532,0.2834500074386596,0.3086000084877014,0.298633337020874,0.2899250090122223,0.2001666724681854,0.4586388766765594,0.301124632358551,0.3136492470511395,0.3008777457116403,1.022843599319458,33,1,90,177,0.2105170132821066,303.8115975229364,303.0659317217375,0.0008190243098064,319,318,363
Samudralavari Khandrika,14.152696,79.703033,28_515_shc_2025-26.6804,13.0,10.0,403.5,0.1,0.0558333322405815,0.0658499971032142,0.096450001001358,0.1052000001072883,0.1522500067949295,0.24651999771595,0.2767750024795532,0.2834500074386596,0.3086000084877014,0.298633337020874,0.2899250090122223,0.2001666724681854,0.4586388766765594,0.301124632358551,0.3136492470511395,0.3008777457116403,1.022843599319458,33,1,90,177,0.2105170132821066,303.8115975229364,303.0659317217375,0.0008190243098064,319,318,363
