Point_ID,Latitude,Longitude,N,P,K,OC,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,NDRE,EVI,SAVI
Point_1,14.171091,79.555352,38.0,90.2,310.4,0.26,616.0,1337.0,1602.5,1932.0,2064.0,2388.5,2683.5,2768.5,2871.0,2835.0,3416.0,3030.0,0.17795979151154132,0.14578375581996897,0.48252191970466085,0.2669112954690491
Point_2,15.298906,79.883129,113.0,21.5,428.3,0.2,734.8965517241379,590.6904761904761,808.4444444444445,845.6666666666667,1600.0,2124.6666666666665,2381.833333333333,2412.0,2587.8,2645.2727272727275,2661.3333333333335,2118.5,0.48081448889798417,0.2023928215353938,1.2810147484353882,0.7211110542738758
Point_3,14.771594,79.720251,113.0,0.8,347.6,0.14,476.0,536.0,854.0,1104.0,1668.5,2244.5,2447.5,2535.0,2725.0,2866.5,3215.0,2351.5,0.393239901071723,0.2061377423575592,0.6960116731517509,0.5897788157713972
Point_4,14.764503,79.70221,113.0,0.8,329.0,0.39,453.0,696.0,1085.0,1438.0,1908.0,2589.0,3010.0,3074.0,3378.0,3289.0,3397.0,2482.0,0.3625886524822695,0.23404255319148937,0.630880765077896,0.5438227146814404
Point_5,14.9751,80.002703,201.0,0.8,521.0,0.48,543.0,750.0,1158.0,1506.0,1982.0,2859.0,3324.0,3447.0,3757.0,3733.0,2587.0,1551.0,0.39188370684433677,0.26984711733284217,0.7074646449919814,0.5877662259008781
Point_6,14.949367,80.033357,188.0,47.62,621.0,0.13,495.0,670.0,1080.0,1190.0,1794.0,2697.0,3205.0,3212.0,3508.0,3575.0,2674.0,1730.0,0.45933666515220356,0.28326008789452656,0.9487612612612613,0.6889267461669506
Point_7,14.947189,80.026144,151.0,16.1,323.0,0.25,698.5,970.0,1262.5,1524.0,1805.0,2148.0,2360.0,2542.5,2583.0,3015.0,3345.0,2763.0,0.25046108447067505,0.1696377228292122,0.5770538243626062,0.375645438898451
Point_8,14.961667,80.034934,314.0,0.8,397.0,0.15,675.0,869.0,1425.0,1722.0,2259.0,3638.0,4031.0,3884.0,4291.0,4015.0,3438.0,2455.0,0.3856582233321441,0.26452873188995607,0.7019936359503864,0.5784357442254526
Point_9,14.958184,80.026031,376.0,18.4,416.0,0.14,446.0,669.5,1037.5,991.5,1531.5,2801.5,3265.5,3503.5,3767.5,3793.0,1959.0,1016.5,0.5588431590656284,0.3916583912611718,1.4168875853122005,0.8381715048381715
Point_10,14.678559,79.666517,351.0,8.4,130.4,0.34,440.0,554.0,869.5,959.5,1609.5,2777.5,3161.0,3240.0,3661.5,3192.0,2668.5,1697.0,0.5430408381950232,0.33622022888957626,1.1772145364443527,0.8144642857142858
