,Importance
PET_mm,0.12887879390662213
VPD_kpa,0.11340944253538604
Longitude,0.07110295409398329
Soil_Temp_0_7cm_K,0.047825534502611
Silt_Fraction_g_kg,0.04550262034701043
Clay_Fraction_g_kg,0.04540984626878181
Sand_Fraction_g_kg,0.044682619532607104
Latitude,0.043310545034623844
B9,0.04214718730194847
B1,0.03579069887896203
OC_Index,0.031652912508433766
Cumulative_Integral_NDVI,0.02606854916780197
TWI,0.02119333590523091
Elevation_m,0.02046432625901154
Clay_Ratio,0.019403550520574426
B11,0.01840360626907655
B8,0.015958538285730205
Terrain_Curvature,0.015473792395909345
BSI,0.015185353171169778
B5,0.015177298835743336
B6,0.014833912563758248
B2,0.014194113584534235
B8A,0.01380509352319116
LST_K,0.013520505738150166
B3,0.013498091103291665
B12,0.01246201021844541
NDRE,0.011926516373718613
Aspect_Cos,0.011820242804405218
B7,0.0109036377477555
Aspect_Sin,0.010820037697812349
B4,0.009977560439670699
EVI,0.009814513093106558
Soil_Moisture_0_7cm,0.007482536217130452
Hillshade,0.005855632428305337
SAVI,0.0056526956465248355
NDVI,0.005507723774752737
Precipitation_Mean_m,0.004844669664123799
Slope_deg,0.0033188101400528055
Aridity_Index,0.0027201915200522793
