Latitude,Longitude,Feature_ID,Village,N,P,K,OC
14.142,79.848,28_515_shc_2024-25.5299,Cheekavolu,138.0,24.0,351.0,1.68
14.155,79.595,28_515_shc_2023-24.5135,Jorepalle,201.0,14.0,377.0,0.8
14.175,79.745,28_515_shc_2023-24.6315,Molakalapundla,75.0,20.0,221.0,0.35
14.175,79.745,28_515_shc_2023-24.6950,Molakalapundla,163.0,128.0,143.0,0.36
14.172,79.752,28_515_shc_2023-24.5467,Molakalapundla,188.0,14.0,52.0,0.56
14.175,79.795,28_515_shc_2025-26.5262,Ramasagaram,188.0,14.0,182.0,0.62
14.172,79.918,28_515_shc_2024-25.5572,Baddevolu,176.0,14.0,617.0,0.87
14.175,79.955,28_515_shc_2023-24.5507,Venkanapalem,163.0,34.0,117.0,0.45
14.182,79.552,28_515_shc_2023-24.6455,Bandepalle,100.0,23.0,189.0,1.17
14.192,79.788,28_515_shc_2025-26.7140,Ramasagaram,63.0,66.0,293.0,0.48
14.198,79.888,28_515_shc_2023-24.6664,Pidur,289.0,87.0,169.0,1.0
14.202,79.532,28_515_shc_2023-24.5515,Rapur,100.0,110.0,650.0,0.33
14.208,79.672,28_515_shc_2023-24.5495,Tocham,151.0,109.0,260.0,0.8
14.205,79.675,28_515_shc_2023-24.6695,Ramasagaram,163.0,109.0,306.0,0.69
14.202,79.682,28_515_shc_2023-24.5035,Chaganam,38.0,17.0,182.0,0.31
14.212,79.562,28_515_shc_2023-24.5798,Rapur,138.0,34.0,78.0,0.5
14.225,79.685,28_515_shc_2023-24.6945,Molakalapundla,113.0,33.0,189.0,0.52
14.222,79.892,28_515_shc_2023-24.5895,Manubolu,100.0,14.0,435.0,0.42
14.225,79.995,28_515_shc_2023-24.7495,Pudiparthi,226.0,16.0,46.0,1.0
14.228,79.998,28_515_shc_2023-24.7499,Pudiparthi,125.0,11.0,72.0,1.57
14.232,79.742,28_515_shc_2023-24.5025,Molakalapundla,88.0,3.0,91.0,0.31
14.232,79.742,28_515_shc_2023-24.5258,Utukur,38.0,1.0,228.0,0.4
14.232,79.872,28_515_shc_2023-24.5023,JATLAKONDURU,113.0,56.0,182.0,0.38
14.232,79.872,28_515_shc_2023-24.7118,JATLAKONDURU,100.0,12.0,286.0,0.15
14.232,79.962,28_515_shc_2023-24.7507,Edagali,163.0,85.0,280.0,1.2
14.232,80.052,28_515_shc_2023-24.6877,Epuru Bit-I-A,226.0,40.0,195.0,0.38
14.248,79.852,28_515_shc_2024-25.4963,Madamanuru,50.0,23.0,137.0,0.58
14.248,79.852,28_515_shc_2024-25.4998,Madamanuru,138.0,17.0,371.0,0.21
14.248,79.852,28_515_shc_2024-25.5160,Madamanuru,63.0,2.0,91.0,0.78
14.255,79.595,28_515_shc_2025-26.4904,Gandurupalle,125.0,16.0,65.0,0.49
14.252,79.642,28_515_shc_2023-24.5486,Chuttupalem,188.0,91.0,20.0,1.25
14.252,79.972,28_515_shc_2023-24.7510,Idimepalle,63.0,4.0,650.0,0.02
14.268,79.602,28_515_shc_2025-26.7049,Vepinapiakkmambapuram,63.0,6.0,124.0,0.23
14.268,79.602,28_515_shc_2025-26.7132,Vepinapiakkmambapuram,188.0,34.0,260.0,0.88
14.268,79.998,28_515_shc_2023-24.7528,Survepalle-III @ Iskapalem,138.0,64.0,162.0,0.58
14.272,79.618,28_515_shc_2025-26.4870,Sankurathripalle,113.0,6.0,215.0,0.21
14.278,79.832,28_515_shc_2023-24.6364,Akkampeta,100.0,6.0,189.0,0.75
14.272,79.972,28_515_shc_2023-24.7553,Survepalle Bit 閳 II,251.0,16.0,104.0,1.86
14.288,79.618,28_515_shc_2023-24.6293,Sanayapalem,88.0,21.0,46.0,0.62
14.285,79.735,28_515_shc_2023-24.5048,Kalichedu,188.0,14.0,182.0,0.62
14.288,79.732,28_515_shc_2025-26.5103,Orupalle,151.0,2.0,283.0,0.58
14.288,79.732,28_515_shc_2025-26.5141,Orupalle,138.0,1.0,52.0,0.58
14.285,80.005,28_515_shc_2023-24.7492,Survepalle-III @ Iskapalem,88.0,13.0,598.0,1.43
14.285,80.005,28_515_shc_2023-24.7534,Survepalle-III @ Iskapalem,125.0,19.0,143.0,1.15
14.292,79.502,28_515_shc_2025-26.4935,Akilavalasa,151.0,75.0,46.0,0.55
14.292,79.502,28_515_shc_2025-26.5092,Akilavalasa,125.0,32.0,150.0,0.25
14.298,79.632,28_515_shc_2023-24.4837,Sanayapalem,75.0,11.0,59.0,0.42
14.298,79.712,28_515_shc_2023-24.5686,Griddalur,188.0,1.0,111.0,0.58
14.292,79.752,28_515_shc_2023-24.5034,Devaravemur,138.0,121.0,143.0,0.35
14.295,79.835,28_515_shc_2023-24.7508,Kuricherlapadu,213.0,19.0,78.0,1.29
14.302,79.758,28_515_shc_2025-26.7062,Devaravemur,75.0,21.0,91.0,0.45
14.318,79.718,28_515_shc_2023-24.6235,Degapudi,125.0,50.0,111.0,0.88
14.312,80.078,28_515_shc_2023-24.4987,Mollur,163.0,32.0,72.0,0.18
14.322,79.718,28_515_shc_2023-24.5463,Degapudi,125.0,6.0,104.0,0.71
14.322,79.712,28_515_shc_2023-24.4862,Degapudi,163.0,1.0,98.0,0.72
14.325,79.955,28_515_shc_2023-24.7533,Survepalle Bit-I,38.0,4.0,344.0,0.72
14.332,79.852,28_515_shc_2023-24.7505,Palicherlapadu,151.0,16.0,85.0,0.9
14.338,79.872,28_515_shc_2023-24.7538,Kanupuru Bit - I,176.0,38.0,65.0,1.0
14.342,79.762,28_515_shc_2023-24.5133,Biradavolu,301.0,38.0,78.0,0.5
14.348,79.862,28_515_shc_2023-24.7497,Kanupuru Bit - I,151.0,23.0,91.0,0.9
14.348,80.082,28_515_shc_2023-24.5747,T.P.Gudur Bit-I,138.0,82.0,351.0,0.26
14.358,79.822,28_515_shc_2023-24.7519,Palicherlapadu,201.0,14.0,85.0,1.05
14.352,79.938,28_515_shc_2023-24.7502,Kanupuru Bit - I,301.0,60.0,65.0,1.0
14.352,80.108,28_515_shc_2025-26.7386,Pynampuram,100.0,20.0,130.0,0.48
14.362,79.652,28_515_shc_2023-24.4845,Vavintaparthi,100.0,23.0,52.0,0.28
14.362,79.652,28_515_shc_2023-24.6915,Vavintaparthi,238.0,58.0,72.0,0.52
14.368,79.892,28_515_shc_2023-24.6035,Donthali,226.0,12.0,228.0,0.4
14.368,80.042,28_515_shc_2024-25.7634,Penubarthi,138.0,22.0,124.0,0.71
14.362,80.112,28_515_shc_2023-24.6333,Ananthapuram,213.0,62.0,150.0,0.52
14.385,79.415,28_515_shc_2023-24.6103,Tegacherla,151.0,17.0,195.0,0.25
