Aspect_deg,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,Clay_Fraction_g_kg,EVI,Elevation_m,Feature_ID,Hillshade,K,LST_K,Latitude,Longitude,N,NDRE,NDVI,OC,P,Precipitation_Mean_m,SAVI,SWIR_Ratio,Sand_Fraction_g_kg,Silt_Fraction_g_kg,Slope_deg,Soil_Moisture_0_7cm,Soil_Temp_0_7cm_K,Village
180,0.05719999969005585,0.32429999113082886,0.23119999468326569,0.07642500102519989,0.11209999769926071,0.1206749975681305,0.17906667292118073,0.2765333354473114,0.3093000054359436,0.31630000472068787,0.3402999937534332,0.33059999346733093,319,0.33333902940858257,31,28_515_shc_2025-26.7014,180,463.5,302.8500899933932,14.124534,79.672067,113.0,0.27703383564949036,0.4476800858974457,0.33,23.8,0.0008257483556553097,0.3131753888972859,1.0252923965454102,382,299,2,0.1995931257281387,303.5830048008969,Vemulachedu
226,0.05582857131958008,0.2704666554927826,0.1834000051021576,0.049300000071525574,0.08143333345651627,0.07670000195503235,0.14749999344348907,0.25485000014305115,0.28760001063346863,0.30570000410079956,0.31302499771118164,0.3111000061035156,329,0.41005622540041675,33,28_515_shc_2025-26.4697,183,273.1,302.8500899933932,14.126984,79.674958,238.0,0.34907329082489014,0.598849356174469,0.34,6.9,0.0008257483556553097,0.3892792394166378,0.8847453594207764,384,287,1,0.1995931257281387,303.5830048008969,Palur
314,0.06712000072002411,0.37400001287460327,0.26660001277923584,0.08910000324249268,0.12987500429153442,0.14293333888053894,0.2079000025987625,0.26813334226608276,0.29807499051094055,0.3176000118255615,0.33489999175071716,0.32739999890327454,325,0.2897685234004047,33,28_515_shc_2025-26.7024,186,471.8,302.8500899933932,14.127094,79.672796,88.0,0.2087535858154297,0.37927040457725525,0.52,29.2,0.0008257483556553097,0.2727651353541595,1.1775819063186646,384,291,3,0.1995931257281387,303.5830048008969,Vemulachedu
333,0.06435000151395798,0.2632499933242798,0.20804999768733978,0.09570000320672989,0.12575000524520874,0.1362999975681305,0.15809999406337738,0.219200000166893,0.24484999477863312,0.25745001435279846,0.26409998536109924,0.2745000123977661,347,0.22311237376119514,23,28_515_shc_2025-26.8423,183,533.8,302.7622721822638,14.128,79.832,176.0,0.2390807867050171,0.3076825737953186,0.16,23.8,0.0008850223594717841,0.2033286967867245,1.0225285291671753,346,307,2,0.22176498279236911,303.5035820007324,Cheekavolu
333,0.06435000151395798,0.2632499933242798,0.20804999768733978,0.09570000320672989,0.12575000524520874,0.1362999975681305,0.15809999406337738,0.219200000166893,0.24484999477863312,0.25745001435279846,0.26409998536109924,0.2745000123977661,347,0.22311237376119514,23,28_515_shc_2025-26.1918,183,285.5,302.7622721822638,14.128,79.832,100.0,0.2390807867050171,0.3076825737953186,0.27,10.0,0.0008850223594717841,0.2033286967867245,1.0225285291671753,346,307,2,0.22176498279236911,303.5035820007324,Vemulachedu
333,0.06435000151395798,0.2632499933242798,0.20804999768733978,0.09570000320672989,0.12575000524520874,0.1362999975681305,0.15809999406337738,0.219200000166893,0.24484999477863312,0.25745001435279846,0.26409998536109924,0.2745000123977661,347,0.22311237376119514,23,28_515_shc_2025-26.8430,183,360.0,302.7622721822638,14.128,79.832,151.0,0.2390807867050171,0.3076825737953186,0.2,91.4,0.0008850223594717841,0.2033286967867245,1.0225285291671753,346,307,2,0.22176498279236911,303.5035820007324,Cheekavolu
333,0.06435000151395798,0.2632499933242798,0.20804999768733978,0.09570000320672989,0.12575000524520874,0.1362999975681305,0.15809999406337738,0.219200000166893,0.24484999477863312,0.25745001435279846,0.26409998536109924,0.2745000123977661,347,0.22311237376119514,23,28_515_shc_2025-26.8439,183,378.6,302.7622721822638,14.128,79.832,50.0,0.2390807867050171,0.3076825737953186,0.13,35.3,0.0008850223594717841,0.2033286967867245,1.0225285291671753,346,307,2,0.22176498279236911,303.5035820007324,Cheekavolu
226,0.04386666789650917,0.25146666169166565,0.16040000319480896,0.04729999974370003,0.07530000060796738,0.0737999975681305,0.1298999935388565,0.22589999437332153,0.2574000060558319,0.2687999904155731,0.28529998660087585,0.28466665744781494,342,0.35928804961048394,37,28_515_shc_2025-26.7019,183,353.8,302.8500899933932,14.132998,79.675209,138.0,0.34838223457336426,0.5691768527030945,0.34,34.6,0.0008257483556553097,0.3471397975818878,0.9355158805847168,388,270,1,0.1995931257281387,303.5830048008969,Vemulachedu
161,0.055816665291786194,0.3244999945163727,0.23770000040531158,0.06866666674613953,0.09703333675861359,0.12183333188295364,0.170933336019516,0.23125000298023224,0.26221999526023865,0.2632000148296356,0.2915000021457672,0.28769999742507935,313,0.2389242198790838,28,28_515_shc_2025-26.1862,177,155.2,302.8500899933932,14.148,79.712,100.0,0.2125307321548462,0.36715438961982727,0.2,0.8,0.0008257483556553097,0.23959551943175006,1.2329026460647583,367,320,3,0.1995931257281387,303.5830048008969,Ananthamadugu
180,0.06279999762773514,0.26589998602867126,0.17307500541210175,0.07005000114440918,0.10254999995231628,0.1054999977350235,0.1716500073671341,0.26932498812675476,0.3268499970436096,0.3414500057697296,0.3625999987125397,0.3177500069141388,310,0.4070700459010168,18,28_515_shc_2025-26.8321,180,304.2,303.0659317217375,14.152,79.738,63.0,0.33092963695526123,0.5279114246368408,0.1,38.4,0.0008190243098064764,0.37375258539748524,0.7787376642227173,368,322,2,0.21051701328210665,303.8115975229364,Ananthamadugu
