system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,K,N,OC,P,sample_id,.geo
0,634.0,3476.0,3051.5,1400.5,1657.0,1961.0,2103.5,2437.5,2717.0,2812.0,2916.5,2865.5,310.4,38,0.26,90.2,0,"{""type"":""Point"",""coordinates"":[79.555352,14.171091]}"
1,735.918918918919,2666.0,2084.5,605.390243902439,798.7647058823529,861.68,1611.6,2165.4,2419.1666666666665,2449.6,2654.7333333333336,2646.1428571428573,428.3,113,0.2,21.5,1,"{""type"":""Point"",""coordinates"":[79.883129,15.298906000000002]}"
2,497.57142857142856,3241.25,2375.0,553.8,847.1818181818181,1138.8,1709.6666666666667,2269.5,2469.6666666666665,2570.0,2775.5,2903.0,347.6,113,0.14,0.8,2,"{""type"":""Point"",""coordinates"":[79.720251,14.771593999999997]}"
3,481.1111111111111,3623.0,2609.0,762.5,1144.0,1527.0,1945.0,2668.5,3119.5,3215.0,3504.5,3582.25,329,113,0.39,0.8,3,"{""type"":""Point"",""coordinates"":[79.70221,14.764503000000005]}"
4,584.5,3224.5,2267.25,756.3333333333334,1171.0,1550.0,2013.1666666666665,2863.2,3270.0,3408.75,3699.5,3738.75,521,201,0.48,0.8,4,"{""type"":""Point"",""coordinates"":[80.002703,14.975099999999998]}"
5,421.0,2673.5,1716.5,648.5,1024.0,1166.0,1736.0,2676.5,3182.0,3189.5,3488.0,3551.0,621,188,0.13,47.62,5,"{""type"":""Point"",""coordinates"":[80.033357,14.949367000000006]}"
6,696.0,3311.5,2771.5,982.5,1258.0,1524.0,1803.0,2162.5,2376.0,2532.0,2648.5,3025.0,323,151,0.25,16.1,6,"{""type"":""Point"",""coordinates"":[80.026144,14.947189000000003]}"
7,685.0,3498.5,2584.5,912.0,1427.0,1744.0,2265.5,3473.0,3928.5,3674.5,4162.5,3964.5,397,314,0.15,0.8,7,"{""type"":""Point"",""coordinates"":[80.034934,14.961666999999997]}"
8,446.0,2158.5,1083.0,669.5,1048.0,991.5,1551.0,2863.0,3383.5,3553.5,3858.0,3866.0,416,376,0.14,18.4,8,"{""type"":""Point"",""coordinates"":[80.026031,14.958184]}"
9,449.5,2989.0,1997.0,612.0,938.5,1105.5,1753.0,2763.0,3076.5,3138.0,3550.0,3214.5,130.4,351,0.34,8.4,9,"{""type"":""Point"",""coordinates"":[79.666517,14.678559000000005]}"
10,450.0,2965.0,2079.5,778.0,1154.5,1395.0,1979.0,2945.0,3479.0,3752.5,3895.5,3480.0,142.8,326,0.23,10.8,10,"{""type"":""Point"",""coordinates"":[79.677545,14.665916000000003]}"
11,277.54545454545456,1262.5,658.8333333333334,358.6923076923077,544.45,350.4761904761905,805.0625,2482.0,3116.4444444444443,3188.8888888888887,3409.0,3290.1,49.2,125,0.3,4.1,11,"{""type"":""Point"",""coordinates"":[79.968203,15.183636999999996]}"
12,338.8,1778.3333333333333,1141.857142857143,350.53846153846155,494.09090909090907,333.44444444444446,972.5714285714286,2381.8,2923.714285714286,2994.0,3242.714285714286,3110.8571428571427,49.2,125,0.3,4.1,12,"{""type"":""Point"",""coordinates"":[79.968268,15.183172]}"
13,690.6,3399.3333333333335,2628.5,853.5,1198.857142857143,1487.9,1746.3333333333333,2160.0,2447.3333333333335,2676.714285714286,2802.4285714285716,2898.2,35.1,238,0.44,72.8,13,"{""type"":""Point"",""coordinates"":[79.977611,15.180090999999997]}"
14,546.7333333333333,1967.6666666666667,1139.0,418.0769230769231,687.1111111111111,527.875,1166.6,2450.1666666666665,2927.0,2930.1666666666665,3149.1666666666665,2846.25,35.1,238,0.44,72.8,14,"{""type"":""Point"",""coordinates"":[79.977198,15.179881]}"
15,813.8,2988.0,2533.0,1013.6666666666666,1263.6363636363637,1520.0,1707.0,2105.0,2259.7,2444.0,2534.5,2591.5555555555557,35.1,238,0.44,72.8,15,"{""type"":""Point"",""coordinates"":[79.977763,15.179922999999999]}"
16,466.45454545454544,1908.0,1169.5,544.0,711.3333333333334,682.0,1074.8,2319.0,2797.0,2677.0,3092.5,3298.1111111111113,35.1,238,0.44,72.8,16,"{""type"":""Point"",""coordinates"":[79.977394,15.179524999999998]}"
17,466.45454545454544,2062.6666666666665,1297.0,605.5,846.75,1010.0,1231.0,2605.8,3187.4,2862.0,3427.5,3298.1111111111113,35.1,238,0.44,72.8,17,"{""type"":""Point"",""coordinates"":[79.977307,15.179084000000001]}"
18,410.6,2328.0,1578.0,591.0,807.5,983.0,1383.0,2258.0,2642.75,2575.5,2830.3333333333335,3232.3333333333335,49.2,276,0.32,112.8,18,"{""type"":""Point"",""coordinates"":[79.97722,15.178665000000002]}"
19,789.2,3174.5,2537.0,991.5333333333333,1294.142857142857,1543.5,1810.3333333333333,2438.8,2676.5,2930.25,2971.5,2900.5,35.1,238,0.44,72.8,19,"{""type"":""Point"",""coordinates"":[79.97861,15.178980000000001]}"
