N,P,K,OC
38.0,90.2,310.4,0.26
113.0,21.5,428.3,0.2
113.0,0.8,347.6,0.14
113.0,0.8,329.0,0.39
201.0,0.8,521.0,0.48
151.0,16.1,323.0,0.25
314.0,0.8,397.0,0.15
376.0,18.4,416.0,0.14
351.0,8.4,130.4,0.34
326.0,10.8,142.8,0.23
125.0,4.1,49.2,0.3
125.0,4.1,49.2,0.3
238.0,72.8,35.1,0.44
238.0,72.8,35.1,0.44
238.0,72.8,35.1,0.44
238.0,72.8,35.1,0.44
238.0,72.8,35.1,0.44
276.0,112.8,49.2,0.32
238.0,72.8,35.1,0.44
289.0,7.6,28.1,0.11
289.0,7.6,28.1,0.11
289.0,7.6,28.1,0.11
289.0,7.6,28.1,0.11
188.0,48.8,35.1,0.18
188.0,66.4,63.2,0.27
163.0,8.8,35.1,0.48
163.0,8.8,35.1,0.48
163.0,8.8,35.1,0.48
163.0,8.8,35.1,0.48
163.0,8.8,35.1,0.48
163.0,8.8,35.1,0.48
201.0,12.3,49.2,0.29
201.0,12.3,49.2,0.29
201.0,12.3,49.2,0.29
238.0,13.1,99.3,0.1
113.0,14.6,229.7,0.14
100.0,14.7,42.1,0.62
100.0,14.7,42.1,0.62
100.0,14.7,42.1,0.62
100.0,14.7,42.1,0.62
100.0,14.7,42.1,0.62
100.0,14.7,42.1,0.62
113.0,68.7,49.2,0.2
226.0,12.3,49.2,0.38
226.0,12.3,49.2,0.38
226.0,12.3,49.2,0.38
226.0,12.3,49.2,0.38
226.0,12.3,49.2,0.38
226.0,12.3,49.2,0.38
226.0,12.3,49.2,0.38
50.0,5.9,28.1,0.17
138.0,59.3,49.2,0.18
163.0,11.2,42.1,0.42
163.0,11.2,42.1,0.42
351.0,37.59,35.1,0.11
351.0,37.59,35.1,0.11
351.0,37.59,35.1,0.11
351.0,37.59,35.1,0.11
88.0,76.9,35.1,0.26
88.0,76.9,35.1,0.26
276.0,40.53,56.2,0.27
201.0,10.0,42.1,0.8
314.0,1.8,35.1,0.68
351.0,22.3,56.2,0.32
50.0,13.5,42.1,0.17
289.0,36.42,49.2,0.19
125.0,31.72,49.2,0.11
188.0,11.2,49.2,0.28
314.0,1.8,35.1,0.68
314.0,1.8,35.1,0.68
314.0,1.8,35.1,0.68
263.0,135.0,42.1,0.23
314.0,5.9,49.2,0.18
289.0,3.5,28.1,0.69
113.0,14.6,229.7,0.14
88.0,76.9,35.1,0.26
113.0,14.6,434.0,0.14
226.0,3.8,515.0,0.4
113.0,0.8,180.0,0.32
201.0,15.9,56.2,0.51
163.0,12.3,42.1,0.16
226.0,1.8,49.2,0.87
226.0,1.8,49.2,0.12
226.0,1.8,49.2,0.87
289.0,4.7,35.1,0.89
289.0,4.7,35.1,0.89
289.0,4.7,35.1,0.89
289.0,4.7,35.1,0.89
289.0,4.7,35.1,0.89
75.0,18.2,21.1,0.52
314.0,18.2,28.1,0.5
151.0,11.2,28.1,0.68
88.0,15.9,42.1,0.36
88.0,15.9,42.1,0.36
138.0,12.3,28.1,0.65
113.0,27.0,21.1,0.52
151.0,37.59,56.2,0.37
113.0,12.3,35.0,0.5
113.0,12.3,35.0,0.5
151.0,11.2,28.1,0.68
113.0,12.3,35.0,0.5
226.0,12.3,28.1,0.71
314.0,17.7,366.0,0.1
125.0,11.7,105.3,0.34
75.0,86.8,335.2,0.18
75.0,86.8,335.2,0.18
75.0,86.8,335.2,0.18
100.0,10.0,285.5,0.27
100.0,10.0,285.5,0.27
100.0,10.0,285.5,0.27
100.0,10.0,285.5,0.27
100.0,10.0,285.5,0.27
75.0,86.8,335.2,0.18
100.0,10.0,285.5,0.27
100.0,10.0,285.5,0.27
151.0,19.2,154.5,0.39
188.0,32.3,323.0,0.25
100.0,31.5,540.0,0.17
100.0,31.5,540.0,0.17
100.0,31.5,540.0,0.17
75.0,10.0,584.0,0.12
75.0,30.0,614.0,0.41
25.0,16.1,379.0,0.08
100.0,16.9,317.0,0.16
25.0,16.1,379.0,0.08
25.0,16.1,379.0,0.08
25.0,16.1,379.0,0.08
38.0,26.9,502.0,0.2
63.0,20.7,378.6,0.28
151.0,1.5,428.3,0.34
176.0,15.4,428.3,0.45
50.0,28.4,360.0,0.21
113.0,16.1,434.5,0.23
63.0,20.7,378.6,0.24
50.0,28.4,360.0,0.21
151.0,13.1,384.9,0.18
176.0,15.4,428.3,0.45
50.0,28.4,360.0,0.21
