,Importance
Latitude,0.42514966663422904
Longitude,0.11787451225761082
Sand_Fraction_g_kg,0.07645061337954018
Clay_Fraction_g_kg,0.029598345848167933
Elevation_m,0.028711982114595417
Silt_Fraction_g_kg,0.02582561475051007
LST_K,0.021212562284839438
Cumulative_Integral_NDVI,0.02074415116966487
Soil_Moisture_0_7cm,0.018981724056983958
B1,0.016481864975771136
Precipitation_Mean_m,0.0163334543879446
B9,0.01590791208318004
TWI,0.014119282373254024
B11,0.01362755004716801
VPD_kpa,0.01314829568134493
Aridity_Index,0.012750652687736239
B4,0.010146852456185688
B2,0.00867257668770902
B3,0.008624236335356954
PET_mm,0.00814594268293194
Terrain_Curvature,0.007984676699459339
Soil_Temp_0_7cm_K,0.0073534204361409665
B12,0.007216890652204667
Aspect_Cos,0.007094297184236919
Clay_Ratio,0.007045885415695537
B5,0.00702712482556825
BSI,0.00654395393395803
B8,0.005460548587383712
B6,0.005114158566097153
Aspect_Sin,0.004835755136493555
B7,0.00443058792317465
EVI,0.0044232339769721685
B8A,0.004323966077947388
OC_Index,0.004129335679838676
Hillshade,0.0039724684376326175
NDRE,0.003508739905824148
SAVI,0.002650142271434369
NDVI,0.0024386803582176126
Slope_deg,0.0019383410369959958
