,Importance
Longitude,0.11206756993422057
Elevation_m,0.11162584661104166
BSI,0.08254374622319964
Latitude,0.04785517163171636
Soil_Moisture_0_7cm,0.04523672049632568
Silt_Fraction_g_kg,0.038031943870327406
Terrain_Curvature,0.03437065900893199
B9,0.03424967985340913
Clay_Fraction_g_kg,0.032092192220297806
B8,0.028569842689747216
B1,0.02700445841254002
Cumulative_Integral_NDVI,0.02502989291653761
TWI,0.024560595270476125
B8A,0.022628887470060265
B7,0.02232376652453212
Clay_Ratio,0.021888374796477702
Sand_Fraction_g_kg,0.021660454634930295
B6,0.021495656379225105
Aspect_Sin,0.02124518377372184
B3,0.018164983126142283
NDRE,0.017323276686763627
LST_K,0.01718337444392499
B11,0.016442022102235925
B12,0.015210210794353425
Soil_Temp_0_7cm_K,0.014800254876199122
B2,0.014497712643774554
Hillshade,0.014465599940309888
VPD_kpa,0.012414472227658903
Aspect_Cos,0.012017780466884006
OC_Index,0.011989160977151523
B5,0.01135809872729948
EVI,0.009879751327601173
B4,0.00913034743600812
NDVI,0.006964099802582525
SAVI,0.005863242865576213
Precipitation_Mean_m,0.005388531330336176
Slope_deg,0.004611295446492608
PET_mm,0.004097100524802687
Aridity_Index,0.0037180415361841163
