,Importance
Clay_Fraction_g_kg,0.10638251336309358
Elevation_m,0.09604548950389147
Longitude,0.07190346382959924
Latitude,0.06434272531361701
Soil_Moisture_0_7cm,0.06045036487577268
Silt_Fraction_g_kg,0.04556690425827801
Cumulative_Integral_NDVI,0.04202369490254854
Sand_Fraction_g_kg,0.03410074845488068
B9,0.031460630156923214
B1,0.026892075915331964
TWI,0.025762158259449386
VPD_kpa,0.023753206798260786
Clay_Ratio,0.022974794614432185
Aridity_Index,0.022286193332362664
B11,0.021433976984872486
NDRE,0.019566723228772197
Terrain_Curvature,0.019534685615231653
Aspect_Cos,0.017631577299150776
B12,0.01685229097670322
BSI,0.016273333907783745
OC_Index,0.016104482298503996
B5,0.01603218530116157
B2,0.015947878192431948
Aspect_Sin,0.01403279611748751
B8,0.01398775028655427
EVI,0.013419360289106121
LST_K,0.012962883615533397
Hillshade,0.012197416295390905
PET_mm,0.011278444935301408
B3,0.011172823648403616
B7,0.011092331121849902
B6,0.011007615042233378
Soil_Temp_0_7cm_K,0.010086302466313249
B8A,0.009833678430582643
B4,0.009750279297845013
Precipitation_Mean_m,0.007776142750076715
SAVI,0.007453697330591657
NDVI,0.00703896672275956
Slope_deg,0.003587414266917514
